,abbreviation,meaning
4292,UUN,urine urea nitrogen
4293,UV,umbilical vein
4294,UVA,ultraviolet A (rays)
4295,UVB,ultraviolet B (rays)
4296,UVC,umbilical venous catheter
4297,UVGI,ultraviolet germicidal irradiation
4298,UVJ,uretero vesicle junction
4299,V,Vanadium (element)
4300,v,vein
4301,V fib,ventricular fibrillation
4302,V tach,ventricular tachycardia
4303,V-Fib,ventricular fibrillation
4304,V/Q,ventilation/perfusion
4305,V/S,vital signs
4306,v/v,volume per volume
4307,VA,visual acuity
4308,VA/Q,ventilation/perfusion
4309,VAC,vacuum-assisted closure
4310,VAD,vascular access device
4311,VAERS,Vaccine Adverse Event Reporting System
4312,vag,vagina
4313,VAIN,vaginal intraepithelial neoplasia
4314,val,valve
4315,Val,valine
4316,var,"variation, variety"
4317,VAS,vibroacoustic stimulator
4318,vasc,vascular
4319,VB,vaginal bleeding
4320,VBAC,vaginal birth after cesarean
4321,VBG,vertical banded gastroplasty
4322,VBW,vertical bitewings
4323,VC,vital capacity
4324,VCD,vacuum constriction device
4325,VCF,vaginal contraceptive film
4326,VCG,vectorcardiogram
4327,VCUG,voiding cystourethrogram
4328,VD,venereal disease
4329,vd,void(ed)
4330,VDRL,venereal disease research laboratory
4331,VE,vaccine efficacy
4332,VEB,ventricular ectopic beat
4333,VEGF,vascular endothelial growth factor
4334,vent,ventilate
4335,VEP,visually evoked potential
4336,VER,visual evoked response
4337,VF,visual field
4338,VFM,value for money
4339,VG,ventral gluteal
4340,VH,vitreous hemorrhage
4341,VHDL,very high density lipoprotein
4342,VHF,very high frequency
4343,via,by way of
4344,VIG,vaccinia immune globulin
4345,VIN,vulvar intraepithelial neoplasia
4346,VIP,voluntary interruption of pregnancy
4347,vis,vision
4348,VIS,vaccination instruction sheet
4349,vit,vitamin
4350,VKA,vitamin K antagonist
4351,VL,vastis lateralis
4352,VLBW,very low birth weight
4353,VLCAD,very long-chain acyl-CoA dehydrogenase deficiency
4354,VLDL,very low density lipoprotein
4355,VLRA,verbal lead risk assessment
4356,VMA,vanillyl-madelic acid
4357,VMD,Doctor of Veterinary Medicine
4358,VO,verbal order
4359,VOD,veno-occlusive disease
4360,vol,volume
4361,vol %,volume percent
4362,VOR,vestibular ocular reflex
4363,VORB,verbal order read back
4364,VP,variegate porphyria
4365,VP Shunt,ventricular peritoneal shunt
4366,VP-16,etoposide
4367,VPC,ventricular premature contraction
4368,VRA,visual reinforcement audiometry
4369,VRE,vancomycin-resistant enterococci
4370,VRSA,vancomycin-resistant Staphylococcus aureus
4371,VS,vestibular schwannoma
4372,vs.,versus
4373,VSD,ventricular septal defect
4374,Vsl,vessel
4375,VSS,vital signs stable
4376,VT,ventricular tachycardia
4377,vtx,vertex
4378,vv,veins
4379,VV,varicose veins
4380,VVC,vulvovaginal candidiasis
4381,VVI,ventricular inhibited mode of pacing
4382,vWD,von Willebrand disease
4383,VZIG,varicella zoster immune globulin
4384,VZV,varicella zoster virus
4385,w,with
4386,W,Tungsten (element)
4387,w/,with
4388,W/C,wheelchair
4389,W/D,withdrawal
4390,w/n,well nourished
4391,w/o,without
4392,w/u,work up
4393,w/v.,weight in volume
4394,WA,while awake
4395,WAIS,Wechsler Adult Intelligence Scale
4396,WAP,wandering atrial pacer
4397,WB,weight bearing
4398,WBAT,weight bearing as tolerated
4399,WBC,white blood cell (count)
4400,WCT,wide complex tachycardia
4401,WD,well developed
4402,WD/WN,"well developed, well nourished"
4403,WDWN,"well-developed, well-nourished"
4404,Wed,Wednesday
4405,WF,white female
4406,WFL,within functional limits
4407,WG,Wegener's granulomatosis
4408,WGL,within good limits
4409,WH,well-hydrated
4410,wh,white
4411,WHO,World Health Organization
4412,WIB,western immunoblot
4413,WIC,"women, infants, children"
4414,wk,week
4415,wks,weeks
4416,WKS,Wernicke Korsakoff syndrome
4417,wm,white male
4418,WN,well nourished
4419,WNL,within normal limits
4420,WNV,West Nile Virus
4421,WNWD,"well-nourished, well-developed"
4422,WO,wide open
4423,WOB,work of breathing
4424,WOC,"wound, ostomy, and continence nurse"
4425,WPD,"warm, pink, dry (skin signs)"
4426,WPW,Wolff-Parkinson-White syndrome
4427,WS,Williams syndrome
4428,WT,wild-type
4429,wt.,weight
4430,x,multiplied by
4431,X&D,examination and diagnosis
4432,x-ray,radiology
4433,XC,exact carbon
4434,XDR,extensively drug-resistant
4435,Xe,Xenon (element)
4436,xfer,transfer
4437,XL,extra large
4438,XR,extended-release
4439,XT,exotropia
4440,Y,Yttrium (element)
4441,y,year
4442,Y-BOCS,Yale-Brown Obsessive-Compulsive Scale
4443,y.o.,year(s) old
4444,Yb,Ytterbium (element)
4445,yo,year(s) old
4446,YOB,year of birth
4447,yr,year
4448,YTD,year to date
4449,Z-DNA,left-handed DNA
4450,ZDV,zidovudine
4451,ZIFT,zygote intrafallopian transfer
4452,ZMC,zygomaticomaxillary complex
4453,Zn,Zinc (element)
4454,Zr,Zirconium (element)
4455,-, no 
4456,+, yes 
